,ïid,time_spending,reasons_using,d_information,d_communication,d_new_friend,d_share,d_study,d_entainterment,number_friends,group_membership,siu_ingroup,informational_use,siu_1,siu_2,siu_3,entertainment_use,oep_1,political_efficacy,oep_2,oep_3,oep_4_data,oep_4,ofep_1,ofep_2,ofep_3,ofep_4,gender,age,barth_place,education,job,income,rural_urban_1,location,rural_urban_2,fav_party,SIU,three_usage,OEP,OFEP,supportNLD,supportUSDP,supportEthnicParty,supportOthersParty
261,263,Between 1 Hour and 3 Hours,"2, 5, 6",0,1,0,0,1,1,between 3000-5000 friends,"2, 3, 4",3,2,5,3,2,4,4,3,2,3,1,1,1,0,1,0,0,56,7,4,4,2,1,10,2.0,3,0.6875,0.62916666,0.51249999,0.5,0,0,1,0
262,264,Less than 1 Hour,"1, 2, 5",1,1,0,0,1,0,between 300-1000 friends,"2, 4",2,5,5,1,5,2,4,5,5,4,2,1,1,0,0,1,0,58,8,6,5,2,1,10,1.0,1,0.67500001,0.69166666,0.71249998,0.5,1,0,0,0
263,265,Between 1 Hour and 3 Hours,"1, 2, 5",1,1,0,0,1,0,between 3000-5000 friends,"2, 3",2,1,4,2,5,3,2,1,5,1,2,1,0,0,0,0,0,22,9,4,1,1,3,9,1.0,1,0.67500001,0.49166667,0.46250001,0.0,1,0,0,0
264,266,Between 1 Hour and 3 Hours,"1, 4, 5, 6",1,0,0,1,1,1,between 3000-5000 friends,"2, 3, 4",3,5,3,3,5,5,5,4,4,4,3,1,1,0,0,0,1,46,13,4,5,3,3,10,1.0,1,0.73750001,0.91250002,0.71249998,0.25,1,0,0,0
265,267,More than 3 Hours,6,0,0,0,0,0,1,under 300 friends,1,1,3,4,1,4,4,5,4,4,2,2,1,0,0,0,1,1,26,13,4,5,2,2,13,1.0,2,0.51249999,0.63749999,0.61250001,0.25,0,1,0,0
266,268,More than 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,under 300 friends,"1, 2, 3, 4",4,3,4,2,4,4,4,3,4,3,2,1,1,0,0,0,0,20,12,0,1,1,1,13,3.0,1,0.75,0.71666664,0.61250001,0.25,1,0,0,0
267,269,More than 3 Hours,"1, 4, 5",1,0,0,1,1,0,under 300 friends,"1, 2, 4",3,2,3,1,5,1,1,1,5,1,1,1,1,1,1,0,1,24,11,4,7,2,3,11,1.0,1,0.63749999,0.41249999,0.41249999,0.75,1,0,0,0
268,270,More than 3 Hours,3,0,0,1,0,0,0,between 300-1000 friends,2,1,4,5,5,4,4,4,5,4,4,2,1,0,0,0,1,1,45,10,6,5,2,1,7,2.0,1,0.76249999,0.78750002,0.66250002,0.25,1,0,0,0
269,271,More than 3 Hours,"1, 2, 4, 6",1,1,0,1,0,1,between 1000-3000 friends,"1, 2, 3, 4",4,4,5,1,4,5,5,4,4,4,1,1,1,0,0,0,1,35,10,5,5,2,1,13,1.0,1,0.75,0.85000002,0.71249998,0.25,1,0,0,0
270,272,Between 1 Hour and 3 Hours,"1, 2, 5, 6",1,1,0,0,1,1,between 1000-3000 friends,"1, 2, 3, 4",4,4,5,1,4,5,5,4,4,4,1,1,1,0,0,1,0,27,10,4,4,2,3,10,1.0,1,0.75,0.85000002,0.71249998,0.5,1,0,0,0
271,273,More than 3 Hours,"1, 2, 3, 4, 6",1,1,1,1,0,1,between 1000-3000 friends,"2, 3, 4",3,5,5,4,5,5,4,4,4,5,3,1,1,1,0,1,0,25,9,4,5,2,4,9,1.0,1,0.88749999,0.96249998,0.71249998,0.75,1,0,0,0
272,274,Less than 1 Hour,"1, 2",1,1,0,0,0,0,between 300-1000 friends,1,1,3,3,3,3,3,3,3,4,4,2,1,0,0,0,0,0,38,10,5,7,5,1,10,3.0,4,0.51249999,0.57083333,0.61250001,0.0,0,0,0,1
273,275,Between 1 Hour and 3 Hours,"5, 6",0,0,0,0,1,1,between 3000-5000 friends,"1, 2",2,3,3,4,4,2,2,2,3,3,1,1,0,0,0,0,1,40,7,5,5,2,3,7,1.0,3,0.67500001,0.55833334,0.46250001,0.0,0,0,1,0
274,276,Between 1 Hour and 3 Hours,"1, 4, 5, 6",1,0,0,1,1,1,between 3000-5000 friends,"2, 3, 4",3,5,5,4,5,2,3,1,5,1,2,1,1,0,0,0,0,19,10,3,1,1,1,10,2.0,4,0.88749999,0.76249999,0.51249999,0.25,0,0,0,1
275,277,More than 3 Hours,6,0,0,0,0,0,1,between 1000-3000 friends,"3, 4",2,4,4,5,4,5,5,3,1,1,2,1,0,0,0,0,1,23,8,5,1,1,3,8,1.0,1,0.77499998,0.85833335,0.41249999,0.0,1,0,0,0
276,278,Between 1 Hour and 3 Hours,"1, 5",1,0,0,0,1,0,between 3000-5000 friends,"1, 2, 3, 4",4,5,4,3,5,4,2,2,3,2,1,1,1,0,0,0,0,40,6,4,4,4,1,13,1.0,4,0.85000002,0.88333333,0.41249999,0.25,0,0,0,1
277,279,Between 1 Hour and 3 Hours,"1, 2, 6",1,1,0,0,0,1,between 1000-3000 friends,"1, 2, 4",3,4,5,3,4,5,3,1,3,1,1,1,1,0,0,0,1,30,8,5,6,2,3,10,1.0,4,0.78750002,0.86250001,0.41249999,0.25,0,0,0,1
278,280,Between 1 Hour and 3 Hours,"1, 2, 4, 5",1,1,0,1,1,0,between 300-1000 friends,"1, 2, 3",3,3,3,3,2,4,4,2,2,2,2,1,0,0,0,0,1,32,14,4,4,5,1,13,1.0,1,0.58749998,0.66249996,0.46250001,0.0,1,0,0,0
279,281,More than 3 Hours,1,1,0,0,0,0,0,between 1000-3000 friends,"1, 2, 3, 4",4,5,4,4,5,4,4,3,5,5,3,1,1,1,0,1,0,30,10,5,5,2,1,10,1.0,1,0.89999998,0.89999998,0.76249999,0.75,1,0,0,0
280,282,More than 3 Hours,"1, 2, 3, 5, 6",1,1,1,0,1,1,between 1000-3000 friends,"1, 2, 3, 4",4,5,5,5,4,2,2,3,4,2,"1, 2",2,1,0,0,0,1,24,10,4,7,1,1,10,1.0,1,0.94999999,0.7833333,0.52499998,0.25,1,0,0,0
281,283,Between 1 Hour and 3 Hours,"1, 5",1,0,0,0,1,0,between 300-1000 friends,"1, 2, 3, 4",4,3,4,1,3,2,3,5,4,1,1,1,0,0,0,0,1,16,5,3,1,1,2,10,1.0,2,0.64999998,0.55000001,0.46250001,0.0,0,1,0,0
282,284,More than 3 Hours,2,0,1,0,0,0,0,between 300-1000 friends,3,1,4,5,4,4,4,4,4,4,4,2,1,0,0,0,1,0,45,10,6,5,2,1,7,1.0,1,0.71249998,0.77083331,0.66250002,0.25,1,0,0,0
283,285,Between 1 Hour and 3 Hours,"1, 2, 4, 5",1,1,0,1,1,0,between 300-1000 friends,"1, 2, 4",3,4,4,1,5,1,1,4,5,3,2,1,1,0,0,0,1,42,2,4,5,2,3,2,1.0,4,0.6875,0.5625,0.51249999,0.25,0,0,0,1
284,286,More than 3 Hours,"1, 5",1,0,0,0,1,0,between 300-1000 friends,"1, 2, 3, 4",4,5,4,1,5,4,1,1,1,1,2,1,1,0,0,0,0,25,9,5,7,2,1,9,2.0,4,0.75,0.85000002,0.21250001,0.25,0,0,0,1
285,287,Between 1 Hour and 3 Hours,6,0,0,0,0,0,1,between 1000-3000 friends,2,1,3,4,2,4,5,4,3,4,2,1,1,0,0,0,1,0,24,10,4,5,2,3,10,1.0,1,0.5625,0.72083336,0.5625,0.25,1,0,0,0
286,288,More than 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 300-1000 friends,"1, 2, 3, 4",4,5,4,2,4,4,2,4,4,4,1,1,1,0,0,1,0,27,10,4,7,2,1,10,1.0,1,0.75,0.85000002,0.5625,0.5,1,0,0,0
287,289,Between 1 Hour and 3 Hours,"1, 2, 5",1,1,0,0,1,0,between 3000-5000 friends,"1, 2, 3, 4",4,5,5,5,4,4,4,5,5,5,"3, 4, 2",3,1,1,1,1,1,30,5,4,7,2,3,5,1.0,3,0.94999999,0.91666669,0.88749999,1.0,0,0,1,0
288,290,More than 3 Hours,"1, 6",1,0,0,0,0,1,between 1000-3000 friends,"2, 3",2,3,3,2,5,4,4,3,4,4,1,1,1,0,0,0,1,23,13,4,1,1,3,13,2.0,1,0.625,0.67500001,0.66250002,0.25,1,0,0,0
289,291,Less than 1 Hour,1,1,0,0,0,0,0,under 300 friends,2,1,3,2,1,5,1,5,3,4,1,2,1,0,0,0,0,0,37,7,5,7,2,1,7,1.0,4,0.46250001,0.42083335,0.5625,0.0,0,0,0,1
290,292,Between 1 Hour and 3 Hours,"1, 2, 5",1,1,0,0,1,0,under 300 friends,"1, 3, 4",3,5,4,2,5,2,1,3,4,4,1,1,1,0,0,0,1,60,10,4,7,5,1,10,1.0,1,0.73750001,0.71249998,0.51249999,0.25,1,0,0,0
291,293,More than 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 300-1000 friends,"1, 2, 3, 4",4,3,4,1,3,3,3,3,1,1,1,1,1,0,0,0,0,37,2,5,5,2,1,13,1.0,1,0.64999998,0.61666667,0.3125,0.25,1,0,0,0
292,294,Between 1 Hour and 3 Hours,"1, 2, 4",1,1,0,1,0,0,between 3000-5000 friends,"1, 2, 3",3,4,4,1,4,4,4,3,3,4,1,1,1,0,0,0,0,30,9,6,5,4,5,9,1.0,1,0.63749999,0.74583334,0.61250001,0.25,1,0,0,0
293,295,More than 3 Hours,"1, 6",1,0,0,0,0,1,between 300-1000 friends,"2, 3",2,2,2,1,1,5,3,1,1,1,1,1,0,0,0,0,0,24,10,4,1,1,1,10,,4,0.32499999,0.57499999,0.3125,0.0,0,0,0,1
294,296,Between 1 Hour and 3 Hours,2,0,1,0,0,0,0,between 300-1000 friends,2,1,4,5,4,5,4,4,3,4,4,1,1,1,0,0,0,1,27,8,5,7,2,4,8,1.0,1,0.76249999,0.78750002,0.66250002,0.25,1,0,0,0
295,297,More than 3 Hours,1,1,0,0,0,0,0,under 300 friends,"2, 3",2,5,3,3,5,4,2,5,5,4,3,1,0,0,0,0,0,34,14,4,1,1,1,13,3.0,4,0.67500001,0.82499999,0.61250001,0.0,0,0,0,1
296,298,More than 3 Hours,"1, 2, 5, 6",1,1,0,0,1,1,between 1000-3000 friends,"2, 3",2,4,4,1,3,4,2,1,1,1,2,1,1,0,0,0,1,24,9,5,4,2,3,9,1.0,1,0.52499998,0.70833331,0.26249999,0.25,1,0,0,0
297,299,Between 1 Hour and 3 Hours,"1, 2, 4, 5",1,1,0,1,1,0,between 300-1000 friends,"2, 3, 4",3,5,5,2,5,2,3,4,4,4,1,1,1,0,0,0,0,52,1,6,5,2,1,10,1.0,1,0.78750002,0.72916669,0.61250001,0.25,1,0,0,0
298,300,More than 3 Hours,"4, 6",0,0,0,1,0,1,between 1000-3000 friends,"3, 4",2,4,4,4,5,5,5,4,4,4,1,1,0,0,0,1,0,23,3,5,1,2,3,3,1.0,1,0.77499998,0.85833335,0.71249998,0.25,1,0,0,0
299,301,Between 1 Hour and 3 Hours,"2, 6",0,1,0,0,0,1,under 300 friends,"2, 3, 4",3,4,5,1,4,4,1,4,4,1,2,1,0,0,0,0,0,42,10,4,5,2,4,10,2.0,1,0.6875,0.76249999,0.36250001,0.0,1,0,0,0
300,302,More than 3 Hours,"4, 5, 6",0,0,0,1,1,1,between 300-1000 friends,"1, 2",2,3,4,2,2,5,5,4,1,1,2,1,0,0,0,0,0,30,13,5,4,3,1,13,3.0,1,0.52499998,0.70833331,0.41249999,0.0,1,0,0,0
301,303,More than 3 Hours,6,0,0,0,0,0,1,between 1000-3000 friends,3,1,4,5,4,4,5,4,3,4,3,1,1,1,0,0,0,0,20,1,0,1,1,3,1,1.0,1,0.71249998,0.83749998,0.61250001,0.25,1,0,0,0
302,304,More than 3 Hours,"1, 2",1,1,0,0,0,0,under 300 friends,"2, 4",2,5,5,3,4,1,1,4,3,3,2,1,1,0,0,0,1,30,1,5,4,4,1,13,2.0,4,0.72500002,0.64166665,0.41249999,0.25,0,0,0,1
303,305,Between 1 Hour and 3 Hours,"1, 2, 4",1,1,0,1,0,0,under 300 friends,"2, 3",2,5,5,1,5,5,5,5,5,4,1,1,0,0,0,1,0,20,8,4,1,1,4,8,1.0,4,0.67500001,0.89166665,0.76249999,0.25,0,0,0,1
304,306,Between 1 Hour and 3 Hours,"1, 2, 5, 6",1,1,0,0,1,1,between 300-1000 friends,"1, 2, 3",3,4,4,3,5,5,3,3,5,4,1,1,1,0,0,0,1,21,10,4,1,1,3,10,3.0,4,0.78750002,0.86250001,0.66250002,0.25,0,0,0,1
305,307,More than 3 Hours,"1, 2, 3, 4, 5",1,1,1,1,1,0,between 1000-3000 friends,"1, 2, 3",3,5,4,4,5,4,4,5,4,4,2,1,0,0,0,0,0,30,10,4,4,2,1,10,1.0,1,0.83749998,0.87916666,0.66250002,0.0,1,0,0,0
306,308,Less than 1 Hour,2,0,1,0,0,0,0,under 300 friends,"2, 4",2,3,5,1,1,1,1,1,1,1,1,1,1,0,0,0,0,21,10,0,1,1,1,10,1.0,1,0.47499999,0.42500001,0.21250001,0.25,1,0,0,0
307,309,More than 3 Hours,4,0,0,0,1,0,0,between 1000-3000 friends,2,1,5,5,5,5,5,5,4,5,5,3,1,0,0,0,1,0,27,10,5,5,2,1,10,1.0,2,0.8125,0.9375,0.8125,0.25,0,1,0,0
308,310,More than 3 Hours,"1, 2, 5",1,1,0,0,1,0,between 300-1000 friends,"2, 3",2,3,5,3,3,2,3,2,4,2,2,1,1,0,0,0,0,24,7,4,5,2,1,13,1.0,1,0.67500001,0.55833334,0.51249999,0.25,1,0,0,0
309,311,Between 1 Hour and 3 Hours,"1, 2, 5, 6",1,1,0,0,1,1,between 300-1000 friends,"1, 2, 4",3,3,4,1,5,4,3,1,4,4,1,1,0,0,0,1,1,29,10,4,5,2,1,10,1.0,1,0.6875,0.69583333,0.61250001,0.25,1,0,0,0
310,312,Between 1 Hour and 3 Hours,"1, 2, 6",1,1,0,0,0,1,between 1000-3000 friends,"1, 2, 3",3,5,5,3,3,4,2,2,3,1,1,1,1,0,0,0,0,31,13,4,1,2,5,15,1.0,1,0.73750001,0.84583336,0.36250001,0.25,1,0,0,0
311,313,Between 1 Hour and 3 Hours,"4, 5",0,0,0,1,1,0,under 300 friends,3,1,3,1,1,1,3,2,5,4,1,1,1,0,0,0,0,1,17,1,3,1,1,1,13,1.0,1,0.21250001,0.47083333,0.41249999,0.0,1,0,0,0
312,314,More than 3 Hours,"1, 4",1,0,0,1,0,0,under 300 friends,"2, 3, 4",3,1,2,1,1,2,2,1,1,1,2,1,1,0,0,0,1,28,10,4,4,2,1,10,1.0,1,0.38749999,0.32916665,0.26249999,0.25,1,0,0,0
313,315,Between 1 Hour and 3 Hours,"1, 2",1,1,0,0,0,0,between 300-1000 friends,3,1,4,5,4,4,4,4,1,1,1,2,1,0,0,0,0,1,40,9,5,5,2,1,13,1.0,4,0.71249998,0.77083331,0.36250001,0.0,0,0,0,1
314,316,Between 1 Hour and 3 Hours,6,0,0,0,0,0,1,under 300 friends,2,1,5,5,4,4,4,5,4,4,1,2,1,0,0,0,0,1,21,7,0,1,1,4,7,4.0,1,0.71249998,0.83749998,0.5625,0.0,1,0,0,0
315,317,Less than 1 Hour,"1, 2, 4",1,1,0,1,0,0,under 300 friends,"2, 3, 4",3,5,4,1,4,4,4,4,3,3,2,1,0,0,0,0,1,37,10,4,5,2,3,10,1.0,1,0.63749999,0.8125,0.5625,0.0,1,0,0,0
316,318,Between 1 Hour and 3 Hours,"1, 2, 5",1,1,0,0,1,0,between 300-1000 friends,"2, 3",2,5,4,2,3,4,3,4,4,4,1,1,1,0,0,0,1,18,10,0,1,1,3,10,1.0,1,0.57499999,0.79166669,0.61250001,0.25,1,0,0,0
317,319,More than 3 Hours,"2, 3, 4",0,1,1,1,0,0,between 3000-5000 friends,"1, 2, 3",3,4,5,5,5,5,5,5,5,5,1,1,0,0,0,1,1,23,1,4,4,2,1,10,1.0,2,0.9375,0.91250002,0.8125,0.25,0,1,0,0
318,320,Between 1 Hour and 3 Hours,"1, 2, 3, 4, 5",1,1,1,1,1,0,between 3000-5000 friends,"1, 2, 3",3,5,5,4,5,1,5,5,5,5,3,1,0,0,0,0,0,22,9,0,4,2,1,9,1.0,1,0.88749999,0.69583333,0.8125,0.0,1,0,0,0
319,321,Between 1 Hour and 3 Hours,"4, 6",0,0,0,1,0,1,between 3000-5000 friends,"1, 2, 3, 4",4,5,5,3,4,5,5,2,4,4,2,1,1,1,0,0,0,35,10,5,5,2,1,10,1.0,1,0.85000002,0.94999999,0.71249998,0.5,1,0,0,0
320,322,More than 3 Hours,6,0,0,0,0,0,1,between 300-1000 friends,3,1,3,4,4,4,4,4,3,4,1,2,1,0,0,0,0,1,23,1,4,4,2,1,10,1.0,1,0.66250002,0.6875,0.51249999,0.0,1,0,0,0
321,323,Between 1 Hour and 3 Hours,5,0,0,0,0,1,0,under 300 friends,3,1,2,1,1,5,5,1,2,4,3,1,1,1,0,0,0,0,24,10,4,5,2,1,13,1.0,4,0.41249999,0.60416669,0.46250001,0.25,0,0,0,1
322,324,Between 1 Hour and 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 3000-5000 friends,"1, 2, 3, 4",4,5,5,4,4,4,4,4,4,4,1,1,1,0,0,1,0,22,7,0,1,1,2,7,1.0,2,0.89999998,0.89999998,0.66250002,0.5,0,1,0,0
323,325,More than 3 Hours,5,0,0,0,0,1,0,between 300-1000 friends,1,1,3,4,2,5,4,2,1,3,2,"1, 2",2,1,0,0,0,0,20,10,4,1,2,4,10,3.0,1,0.61250001,0.67083335,0.47499999,0.25,1,0,0,0
324,326,More than 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 300-1000 friends,"1, 2, 3, 4",4,4,4,3,4,5,4,4,4,4,3,1,1,0,0,1,1,32,1,4,4,3,3,1,3.0,3,0.80000001,0.86666667,0.66250002,0.5,0,0,1,0
325,327,More than 3 Hours,2,0,1,0,0,0,0,under 300 friends,2,1,4,5,4,4,4,5,3,4,4,2,1,0,0,0,1,1,22,10,4,1,1,1,10,2.0,1,0.71249998,0.77083331,0.71249998,0.25,1,0,0,0
326,328,Between 1 Hour and 3 Hours,"1, 2, 5",1,1,0,0,1,0,under 300 friends,"2, 3",2,4,4,1,5,5,1,4,3,1,1,1,1,0,0,1,0,53,13,6,5,2,1,13,1.0,1,0.625,0.80833334,0.3125,0.5,1,0,0,0
327,329,More than 3 Hours,"2, 4",0,1,0,1,0,0,between 1000-3000 friends,"1, 2, 3",3,4,5,3,4,5,5,3,4,1,1,1,1,0,0,0,0,22,11,4,4,2,1,13,1.0,1,0.78750002,0.86250001,0.5625,0.25,1,0,0,0
328,330,Between 1 Hour and 3 Hours,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,between 1000-3000 friends,"1, 2, 3, 4",4,5,5,1,5,5,5,5,5,3,1,1,0,0,0,1,1,24,10,4,7,2,3,10,1.0,1,0.80000001,0.93333334,0.71249998,0.25,1,0,0,0
329,331,More than 3 Hours,"1, 2, 5, 6",1,1,0,0,1,1,between 1000-3000 friends,"1, 2, 3, 4",4,3,5,3,5,5,3,2,3,1,2,1,0,0,0,0,0,27,10,5,4,3,1,13,1.0,1,0.89999998,0.83333331,0.41249999,0.0,1,0,0,0
330,332,More than 3 Hours,"1, 5",1,0,0,0,1,0,between 1000-3000 friends,"2, 3, 4",3,4,4,4,4,4,2,3,5,4,1,1,1,0,0,0,0,25,10,0,1,2,1,10,1.0,1,0.78750002,0.79583335,0.61250001,0.25,1,0,0,0
331,333,More than 3 Hours,"1, 5, 6",1,0,0,0,1,1,between 300-1000 friends,"2, 3",2,4,4,4,5,4,4,4,5,4,1,1,1,0,0,1,1,28,9,5,5,2,4,9,1.0,1,0.77499998,0.79166669,0.71249998,0.5,1,0,0,0
332,334,More than 3 Hours,4,0,0,0,1,0,0,between 1000-3000 friends,"1, 2, 3, 4",4,2,3,3,3,4,5,3,4,2,2,1,1,0,0,0,0,29,7,4,4,2,1,10,3.0,4,0.69999999,0.63333333,0.61250001,0.25,0,0,0,1
333,335,Between 1 Hour and 3 Hours,"1, 2, 3, 4, 5",1,1,1,1,1,0,between 1000-3000 friends,"2, 3, 4",3,3,3,3,3,1,1,3,4,3,1,1,1,0,0,0,0,39,10,4,7,3,4,10,1.0,1,0.63749999,0.47916666,0.46250001,0.25,1,0,0,0
334,336,Between 1 Hour and 3 Hours,"1, 2, 6",1,1,0,0,0,1,between 1000-3000 friends,"1, 3",2,4,5,3,3,4,3,2,5,1,1,1,1,0,0,0,0,29,8,4,5,2,3,7,3.0,2,0.67500001,0.75833333,0.51249999,0.25,0,1,0,0
335,337,More than 3 Hours,"2, 4, 5",0,1,0,1,1,0,between 300-1000 friends,"2, 3, 4",3,5,5,4,5,5,5,5,4,4,1,1,1,1,0,0,1,21,7,0,1,1,4,7,1.0,1,0.88749999,0.96249998,0.71249998,0.5,1,0,0,0
336,338,More than 3 Hours,"1, 2, 5, 6",1,1,0,0,1,1,between 3000-5000 friends,"2, 3",2,5,5,4,5,4,3,3,3,4,1,1,1,0,0,1,0,26,11,4,7,3,3,11,4.0,1,0.82499999,0.875,0.5625,0.5,1,0,0,0
337,339,Between 1 Hour and 3 Hours,5,0,0,0,0,1,0,between 300-1000 friends,1,1,4,5,4,5,5,4,3,4,4,2,1,1,0,0,0,0,29,10,4,4,2,1,10,1.0,1,0.76249999,0.85416669,0.66250002,0.25,1,0,0,0
338,340,More than 3 Hours,"1, 2, 3, 5",1,1,1,0,1,0,between 1000-3000 friends,"1, 2",2,3,4,4,4,3,2,5,3,5,"3, 4",2,1,0,0,0,0,25,10,4,6,3,3,10,1.0,4,0.72500002,0.64166665,0.625,0.25,0,0,0,1
339,341,More than 3 Hours,5,0,0,0,0,1,0,under 300 friends,2,1,5,1,1,5,1,1,1,5,5,3,1,1,0,0,1,1,37,7,4,7,5,3,7,1.0,1,0.41249999,0.53750002,0.61250001,0.5,1,0,0,0
340,342,More than 3 Hours,5,0,0,0,0,1,0,between 300-1000 friends,1,1,2,5,3,5,4,5,1,4,1,2,1,1,0,0,1,1,24,10,4,2,1,4,10,2.0,1,0.71249998,0.63749999,0.5625,0.5,1,0,0,0
341,343,More than 3 Hours,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,between 3000-5000 friends,"1, 2, 3, 4",4,5,5,5,5,5,5,5,5,5,"3, 4",2,1,0,0,0,1,30,10,4,5,2,1,10,3.0,1,1.0,1.0,0.875,0.25,1,0,0,0
342,344,More than 3 Hours,"1, 2, 6",1,1,0,0,0,1,between 300-1000 friends,"1, 2, 3, 4",4,5,5,3,5,4,4,3,5,4,1,1,1,0,0,0,1,22,1,4,1,1,1,10,1.0,1,0.89999998,0.89999998,0.71249998,0.25,1,0,0,0
343,345,More than 3 Hours,"2, 4, 6",0,1,0,1,0,1,between 3000-5000 friends,"2, 4",2,1,3,1,1,4,5,3,2,3,1,1,1,0,1,0,1,24,8,4,1,1,4,8,1.0,1,0.375,0.45833334,0.5625,0.5,1,0,0,0
344,346,Between 1 Hour and 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 3000-5000 friends,"1, 3",2,3,4,4,3,5,4,4,2,1,1,1,1,0,0,0,0,35,10,5,4,3,1,13,3.0,4,0.67500001,0.75833333,0.41249999,0.25,0,0,0,1
345,347,Between 1 Hour and 3 Hours,1,1,0,0,0,0,0,under 300 friends,4,1,5,5,3,4,5,3,3,4,3,2,1,1,0,0,0,0,27,10,4,4,2,3,10,1.0,1,0.66250002,0.88749999,0.5625,0.25,1,0,0,0
346,348,More than 3 Hours,"1, 2, 3, 4, 6",1,1,1,1,0,1,between 1000-3000 friends,"2, 3, 4",3,4,4,4,4,4,3,2,4,4,1,1,1,0,0,0,0,25,9,4,4,2,1,10,1.0,4,0.78750002,0.79583335,0.61250001,0.25,0,0,0,1
347,349,Between 1 Hour and 3 Hours,1,1,0,0,0,0,0,between 300-1000 friends,3,1,4,5,2,1,2,2,1,4,4,2,1,0,0,0,0,1,25,9,4,5,2,3,7,1.0,1,0.46250001,0.55416667,0.5625,0.0,1,0,0,0
348,350,More than 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 1000-3000 friends,"1, 2, 3, 4",4,5,5,1,5,5,4,2,4,4,1,1,0,1,1,1,0,23,8,4,1,1,4,8,2.0,1,0.80000001,0.93333334,0.66250002,0.75,1,0,0,0
349,351,Between 1 Hour and 3 Hours,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,between 300-1000 friends,"1, 2, 3, 4",4,5,3,3,3,3,3,2,3,1,2,1,0,0,0,0,0,29,10,4,4,2,1,10,3.0,4,0.69999999,0.76666665,0.41249999,0.0,0,0,0,1
350,352,Between 1 Hour and 3 Hours,"1, 2, 4",1,1,0,1,0,0,between 300-1000 friends,"2, 3, 4",3,5,5,3,5,4,5,5,5,5,1,1,1,0,0,0,1,24,9,3,1,1,3,9,3.0,1,0.83749998,0.87916666,0.8125,0.25,1,0,0,0
351,353,Between 1 Hour and 3 Hours,"1, 2, 4, 5",1,1,0,1,1,0,between 1000-3000 friends,"2, 4",2,5,5,4,5,4,5,5,5,4,1,1,1,1,1,1,1,23,8,4,1,1,4,8,1.0,1,0.82499999,0.875,0.76249999,1.0,1,0,0,0
352,354,More than 3 Hours,"1, 5",1,0,0,0,1,0,between 1000-3000 friends,"1, 2, 4",3,2,1,1,3,2,2,4,4,3,2,1,1,0,0,0,0,20,9,0,1,1,3,9,3.0,1,0.4375,0.41249999,0.51249999,0.25,1,0,0,0
353,355,Between 1 Hour and 3 Hours,"1, 2, 5, 6",1,1,0,0,1,1,under 300 friends,"1, 2, 3, 4",4,3,3,3,4,3,1,5,4,1,2,1,0,0,0,0,1,29,10,0,2,1,4,10,1.0,1,0.75,0.64999998,0.36250001,0.0,1,0,0,0
354,356,Between 1 Hour and 3 Hours,"2, 5",0,1,0,0,1,0,between 300-1000 friends,2,1,5,5,2,2,2,3,2,5,5,1,1,0,0,0,0,1,28,10,4,5,2,3,7,3.0,1,0.51249999,0.63749999,0.71249998,0.0,1,0,0,0
355,357,More than 3 Hours,"1, 5",1,0,0,0,1,0,under 300 friends,"1, 2, 3",3,3,4,1,2,2,2,1,3,1,2,1,0,0,0,0,0,23,13,4,7,2,1,13,2.0,4,0.53750002,0.51249999,0.36250001,0.0,0,0,0,1
356,358,Between 1 Hour and 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 1000-3000 friends,"1, 2, 3, 4",4,4,5,3,4,4,3,3,4,4,1,1,1,0,1,0,0,29,9,4,5,2,3,7,1.0,1,0.85000002,0.81666666,0.61250001,0.5,1,0,0,0
357,359,Less than 1 Hour,5,0,0,0,0,1,0,between 300-1000 friends,2,1,5,4,3,5,4,4,4,5,4,2,1,1,1,1,1,1,17,8,3,1,1,4,8,2.0,1,0.66250002,0.82083333,0.71249998,1.0,1,0,0,0
358,360,Between 1 Hour and 3 Hours,"1, 4, 5",1,0,0,1,1,0,between 300-1000 friends,"1, 2, 3, 4",4,3,3,3,5,3,2,3,5,3,1,1,1,0,0,0,0,42,10,4,5,2,3,7,3.0,1,0.80000001,0.66666669,0.5625,0.25,1,0,0,0
359,361,Between 1 Hour and 3 Hours,"1, 2, 6",1,1,0,0,0,1,between 300-1000 friends,"1, 2, 3, 4",4,4,4,3,5,5,3,4,4,4,1,1,0,0,0,1,0,27,10,5,5,2,2,10,1.0,1,0.85000002,0.88333333,0.61250001,0.25,1,0,0,0
360,362,Less than 1 Hour,5,0,0,0,0,1,0,between 300-1000 friends,2,1,5,4,3,4,4,4,4,5,4,1,1,1,1,1,1,1,17,8,3,1,1,4,8,1.0,1,0.61250001,0.80416667,0.71249998,1.0,1,0,0,0
