,ïid,time_spending,reasons_using,d_information,d_communication,d_new_friend,d_share,d_study,d_entainterment,number_friends,group_membership,siu_ingroup,informational_use,siu_1,siu_2,siu_3,entertainment_use,oep_1,political_efficacy,oep_2,oep_3,oep_4_data,oep_4,ofep_1,ofep_2,ofep_3,ofep_4,gender,age,barth_place,education,job,income,rural_urban_1,location,rural_urban_2,fav_party,SIU,three_usage,OEP,OFEP,supportNLD,supportUSDP,supportEthnicParty,supportOthersParty
192,193,More than 3 Hours,6,0,0,0,0,0,1,between 1000-3000 friends,3,1,4,4,2,4,5,4,1,2,1,1,1,0,0,0,0,0,28,10,5,5,2,4,10,,1,0.5625,0.78750002,0.41249999,0.0,1,0,0,0
193,194,More than 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 300-1000 friends,"1, 2, 3, 4",4,3,5,4,5,5,5,5,5,1,1,1,1,1,1,1,0,25,8,4,1,1,3,8,1.0,1,0.94999999,0.85000002,0.61250001,1.0,1,0,0,0
194,195,More than 3 Hours,"1, 2, 4, 5",1,1,0,1,1,0,between 300-1000 friends,"1, 2, 4",3,4,5,5,5,5,5,5,5,5,1,1,1,1,1,1,0,31,11,4,7,2,4,11,3.0,1,0.9375,0.91250002,0.8125,1.0,1,0,0,0
195,196,Between 1 Hour and 3 Hours,"1, 2, 4, 5",1,1,0,1,1,0,between 3000-5000 friends,"2, 3, 4",3,4,4,1,4,4,4,5,5,5,1,1,1,0,0,0,0,27,8,5,5,2,4,8,3.0,1,0.63749999,0.74583334,0.76249999,0.25,1,0,0,0
196,197,More than 3 Hours,6,0,0,0,0,0,1,between 300-1000 friends,"2, 3",2,3,1,1,1,5,5,1,3,1,1,1,0,0,0,0,1,21,13,0,1,1,1,13,1.0,1,0.27500001,0.625,0.51249999,0.0,1,0,0,0
197,198,More than 3 Hours,1,1,0,0,0,0,0,under 300 friends,2,1,4,5,4,5,5,5,5,5,3,1,1,0,0,0,0,0,29,10,0,5,2,3,10,1.0,1,0.76249999,0.85416669,0.71249998,0.0,1,0,0,0
198,199,More than 3 Hours,"1, 2, 4, 5",1,1,0,1,1,0,between 300-1000 friends,2,1,5,4,1,5,4,3,1,1,1,"4, 2",2,0,0,0,1,0,20,13,4,1,1,1,13,1.0,1,0.5625,0.78750002,0.375,0.25,1,0,0,0
199,200,More than 3 Hours,"2, 5, 6",0,1,0,0,1,1,between 1000-3000 friends,"2, 3",2,4,5,2,5,5,4,4,3,3,1,1,1,0,0,0,0,23,10,4,1,2,1,10,1.0,1,0.72500002,0.8416667,0.5625,0.25,1,0,0,0
200,201,More than 3 Hours,"1, 2",1,1,0,0,0,0,between 300-1000 friends,"2, 3",2,5,5,5,5,5,4,4,5,5,3,1,0,0,0,1,0,39,10,4,5,1,1,10,1.0,3,0.875,0.95833331,0.76249999,0.25,0,0,1,0
201,202,More than 3 Hours,"1, 5",1,0,0,0,1,0,under 300 friends,"1, 2, 3",3,4,2,1,5,2,1,2,2,1,2,1,0,0,0,0,0,50,7,5,7,5,1,13,1.0,4,0.58749998,0.5958333,0.26249999,0.0,0,0,0,1
202,203,More than 3 Hours,"2, 4, 5, 6",0,1,0,1,1,1,under 300 friends,3,1,4,5,3,5,5,5,4,4,4,3,1,1,0,0,0,0,16,2,3,1,1,3,2,2.0,1,0.71249998,0.83749998,0.71249998,0.25,1,0,0,0
203,204,More than 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,under 300 friends,"1, 2, 3",3,5,5,3,5,4,5,5,5,5,"1, 3",2,0,0,0,0,0,38,13,4,4,4,1,13,1.0,1,0.83749998,0.87916666,0.875,0.0,1,0,0,0
204,205,More than 3 Hours,1,1,0,0,0,0,0,between 1000-3000 friends,"1, 2, 3",3,4,4,2,4,4,4,1,3,2,2,1,1,1,1,1,0,28,10,4,4,2,1,10,1.0,1,0.6875,0.76249999,0.51249999,1.0,1,0,0,0
205,206,More than 3 Hours,"1, 2, 3, 4",1,1,1,1,0,0,between 300-1000 friends,"1, 3",2,4,5,4,4,5,3,1,5,3,2,1,0,0,0,0,1,31,9,4,7,2,4,9,3.0,2,0.77499998,0.85833335,0.61250001,0.0,0,1,0,0
206,207,Between 1 Hour and 3 Hours,"1, 4, 5",1,0,0,1,1,0,under 300 friends,3,1,5,1,1,1,1,2,1,4,1,2,1,1,0,0,1,1,25,13,3,5,1,3,13,3.0,4,0.21250001,0.47083333,0.41249999,0.5,0,0,0,1
207,208,More than 3 Hours,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,between 300-1000 friends,"1, 2, 3, 4",4,4,5,4,5,5,4,3,4,3,1,1,1,0,0,0,0,23,1,4,7,4,1,10,1.0,1,0.94999999,0.91666669,0.61250001,0.25,1,0,0,0
208,209,More than 3 Hours,"1, 2, 3, 5",1,1,1,0,1,0,between 1000-3000 friends,"1, 2, 3, 4",4,5,5,4,4,4,4,4,5,4,1,1,1,0,0,0,0,24,1,4,5,4,1,13,1.0,1,0.89999998,0.89999998,0.71249998,0.25,1,0,0,0
209,210,More than 3 Hours,"1, 2, 4, 5",1,1,0,1,1,0,under 300 friends,3,1,5,5,4,4,4,4,1,1,1,2,1,0,0,0,0,0,40,13,4,2,2,1,13,1.0,2,0.71249998,0.83749998,0.36250001,0.0,0,1,0,0
210,211,More than 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 300-1000 friends,"1, 2, 3, 4",4,3,5,1,5,3,3,1,3,1,1,1,0,0,0,0,0,28,8,4,5,2,3,3,2.0,4,0.80000001,0.66666669,0.41249999,0.0,0,0,0,1
211,212,Less than 1 Hour,"1, 2",1,1,0,0,0,0,between 300-1000 friends,2,1,5,5,4,4,5,3,3,4,3,2,1,0,0,0,1,1,50,10,6,5,2,1,10,1.0,4,0.71249998,0.90416664,0.5625,0.25,0,0,0,1
212,213,More than 3 Hours,5,0,0,0,0,1,0,between 1000-3000 friends,3,1,4,4,5,5,4,5,1,3,4,2,1,1,0,0,0,0,23,8,4,4,2,1,10,1.0,1,0.76249999,0.78750002,0.66250002,0.25,1,0,0,0
213,214,More than 3 Hours,"1, 3, 4, 5, 6",1,0,1,1,1,1,between 3000-5000 friends,"2, 3",2,4,1,4,4,4,3,4,4,4,1,1,1,0,0,1,1,16,13,3,1,1,3,13,1.0,1,0.57499999,0.72500002,0.61250001,0.5,1,0,0,0
214,215,Between 1 Hour and 3 Hours,6,0,0,0,0,0,1,between 300-1000 friends,"2, 3",2,2,4,4,3,5,4,1,2,1,2,1,0,0,0,0,0,23,10,5,1,1,2,10,1.0,1,0.67500001,0.69166666,0.41249999,0.0,1,0,0,0
215,216,More than 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 300-1000 friends,"1, 2, 3, 4",4,3,3,2,5,4,5,4,3,3,2,1,0,0,0,0,1,24,10,0,1,1,1,10,1.0,1,0.75,0.71666664,0.61250001,0.0,1,0,0,0
216,217,Between 1 Hour and 3 Hours,"1, 5",1,0,0,0,1,0,under 300 friends,"1, 2",2,5,1,1,4,2,1,2,4,1,1,1,0,0,0,0,0,30,10,4,5,2,2,10,3.0,1,0.42500001,0.60833335,0.36250001,0.0,1,0,0,0
